Added: 2020-05-24T02:48:57.126Z
TickerStatistics[symbol=KEYETH,priceChange=0.00000032,priceChangePercent=6.751,weightedAvgPrice=0.00000480,prevClosePrice=0.00000475,lastPrice=0.00000506,bidPrice=0.00000507,askPrice=0.00000508,openPrice=0.00000474,highPrice=0.00000506,lowPrice=0.00000466,volume=28485921.00000000,openTime=1590202085801,closeTime=1590288485801,firstId=1403901,lastId=1404709,count=809]
TickerStatistics[symbol=TNBBTC,priceChange=0.00000001,priceChangePercent=6.667,weightedAvgPrice=0.00000015,prevClosePrice=0.00000015,lastPrice=0.00000016,bidPrice=0.00000015,askPrice=0.00000016,openPrice=0.00000015,highPrice=0.00000016,lowPrice=0.00000014,volume=63731285.00000000,openTime=1590202070134,closeTime=1590288470134,firstId=5188560,lastId=5188926,count=367]
TickerStatistics[symbol=CELRBNB,priceChange=0.00001040,priceChangePercent=6.603,weightedAvgPrice=0.00016137,prevClosePrice=0.00015750,lastPrice=0.00016790,bidPrice=0.00016700,askPrice=0.00016830,openPrice=0.00015750,highPrice=0.00017030,lowPrice=0.00015410,volume=13037023.00000000,openTime=1590202111066,closeTime=1590288511066,firstId=1118789,lastId=1119588,count=800]
TickerStatistics[symbol=BEAMUSDT,priceChange=0.02230000,priceChangePercent=6.596,weightedAvgPrice=0.35381340,prevClosePrice=0.33800000,lastPrice=0.36040000,bidPrice=0.36040000,askPrice=0.36110000,openPrice=0.33810000,highPrice=0.36810000,lowPrice=0.33460000,volume=2296146.45000000,openTime=1590202110480,closeTime=1590288510480,firstId=684020,lastId=689003,count=4984]
TickerStatistics[symbol=KNCBTC,priceChange=0.00000453,priceChangePercent=6.374,weightedAvgPrice=0.00007655,prevClosePrice=0.00007107,lastPrice=0.00007560,bidPrice=0.00007549,askPrice=0.00007554,openPrice=0.00007107,highPrice=0.00008188,lowPrice=0.00007095,volume=10213915.00000000,openTime=1590202113082,closeTime=1590288513082,firstId=9090403,lastId=9134803,count=44401]
TickerStatistics[symbol=KNCETH,priceChange=0.00019410,priceChangePercent=6.193,weightedAvgPrice=0.00339210,prevClosePrice=0.00313410,lastPrice=0.00332820,bidPrice=0.00331910,askPrice=0.00332610,openPrice=0.00313410,highPrice=0.00363770,lowPrice=0.00312970,volume=1465907.00000000,openTime=1590202114516,closeTime=1590288514516,firstId=3228509,lastId=3236578,count=8070]
TickerStatistics[symbol=KEYUSDT,priceChange=0.00006100,priceChangePercent=6.100,weightedAvgPrice=0.00099375,prevClosePrice=0.00100000,lastPrice=0.00106100,bidPrice=0.00106000,askPrice=0.00106100,openPrice=0.00100000,highPrice=0.00106200,lowPrice=0.00097000,volume=194998798.00000000,openTime=1590202098759,closeTime=1590288498759,firstId=346440,lastId=347748,count=1309]
TickerStatistics[symbol=TNTBTC,priceChange=0.00000023,priceChangePercent=6.053,weightedAvgPrice=0.00000404,prevClosePrice=0.00000382,lastPrice=0.00000403,bidPrice=0.00000401,askPrice=0.00000403,openPrice=0.00000380,highPrice=0.00000431,lowPrice=0.00000378,volume=100147087.00000000,openTime=1590202100321,closeTime=1590288500321,firstId=7011475,lastId=7031765,count=20291]
TickerStatistics[symbol=HOTBNB,priceChange=0.00000191,priceChangePercent=6.008,weightedAvgPrice=0.00003293,prevClosePrice=0.00003179,lastPrice=0.00003370,bidPrice=0.00003368,askPrice=0.00003386,openPrice=0.00003179,highPrice=0.00003506,lowPrice=0.00003143,volume=62024357.00000000,openTime=1590202023146,closeTime=1590288423146,firstId=567070,lastId=567996,count=927]
TickerStatistics[symbol=OGNUSDT,priceChange=0.01070000,priceChangePercent=5.944,weightedAvgPrice=0.18799140,prevClosePrice=0.18010000,lastPrice=0.19070000,bidPrice=0.19050000,askPrice=0.19100000,openPrice=0.18000000,highPrice=0.19620000,lowPrice=0.17830000,volume=7890350.89000000,openTime=1590202024911,closeTime=1590288424911,firstId=1038842,lastId=1044750,count=5909]
TickerStatistics[symbol=QLCETH,priceChange=0.00000299,priceChangePercent=5.909,weightedAvgPrice=0.00005086,prevClosePrice=0.00005076,lastPrice=0.00005359,bidPrice=0.00005341,askPrice=0.00005385,openPrice=0.00005060,highPrice=0.00005660,lowPrice=0.00004799,volume=6773355.00000000,openTime=1590202114305,closeTime=1590288514305,firstId=1162318,lastId=1166021,count=3704]
TickerStatistics[symbol=XVGETH,priceChange=0.00000104,priceChangePercent=5.787,weightedAvgPrice=0.00001825,prevClosePrice=0.00001800,lastPrice=0.00001901,bidPrice=0.00001898,askPrice=0.00001901,openPrice=0.00001797,highPrice=0.00001906,lowPrice=0.00001791,volume=19631983.00000000,openTime=1590201796154,closeTime=1590288196154,firstId=6619616,lastId=6620569,count=954]
TickerStatistics[symbol=SNTBTC,priceChange=0.00000015,priceChangePercent=5.338,weightedAvgPrice=0.00000288,prevClosePrice=0.00000281,lastPrice=0.00000296,bidPrice=0.00000295,askPrice=0.00000296,openPrice=0.00000281,highPrice=0.00000300,lowPrice=0.00000275,volume=34434434.00000000,openTime=1590202030762,closeTime=1590288430762,firstId=7029011,lastId=7035597,count=6587]
TickerStatistics[symbol=BTTTRX,priceChange=0.00094000,priceChangePercent=5.323,weightedAvgPrice=0.01800133,prevClosePrice=0.01766000,lastPrice=0.01860000,bidPrice=0.01860000,askPrice=0.01861000,openPrice=0.01766000,highPrice=0.01933000,lowPrice=0.01742000,volume=1228658146.70000000,openTime=1590202114854,closeTime=1590288514854,firstId=4245285,lastId=4256533,count=11249]
TickerStatistics[symbol=SCBNB,priceChange=0.00000680,priceChangePercent=5.275,weightedAvgPrice=0.00013362,prevClosePrice=0.00012880,lastPrice=0.00013570,bidPrice=0.00013570,askPrice=0.00013650,openPrice=0.00012890,highPrice=0.00013670,lowPrice=0.00012880,volume=43792423.00000000,openTime=1590201916693,closeTime=1590288316693,firstId=350543,lastId=351682,count=1140]
TickerStatistics[symbol=CELRUSDT,priceChange=0.00014000,priceChangePercent=5.263,weightedAvgPrice=0.00265300,prevClosePrice=0.00267000,lastPrice=0.00280000,bidPrice=0.00278000,askPrice=0.00280000,openPrice=0.00266000,highPrice=0.00282000,lowPrice=0.00253000,volume=95607215.80000000,openTime=1590202015310,closeTime=1590288415310,firstId=3455685,lastId=3457714,count=2030]
TickerStatistics[symbol=SNTETH,priceChange=0.00000642,priceChangePercent=5.190,weightedAvgPrice=0.00012742,prevClosePrice=0.00012371,lastPrice=0.00013013,bidPrice=0.00012964,askPrice=0.00013013,openPrice=0.00012371,highPrice=0.00013262,lowPrice=0.00012242,volume=5143380.00000000,openTime=1590202110251,closeTime=1590288510251,firstId=2499076,lastId=2502024,count=2949]
TickerStatistics[symbol=QLCBTC,priceChange=0.00000006,priceChangePercent=5.172,weightedAvgPrice=0.00000117,prevClosePrice=0.00000115,lastPrice=0.00000122,bidPrice=0.00000121,askPrice=0.00000122,openPrice=0.00000116,highPrice=0.00000127,lowPrice=0.00000107,volume=35256625.00000000,openTime=1590202114479,closeTime=1590288514479,firstId=5801996,lastId=5806617,count=4622]
TickerStatistics[symbol=WINTRX,priceChange=0.00025000,priceChangePercent=5.133,weightedAvgPrice=0.00493581,prevClosePrice=0.00487000,lastPrice=0.00512000,bidPrice=0.00511000,askPrice=0.00512000,openPrice=0.00487000,highPrice=0.00512000,lowPrice=0.00481000,volume=2191466354.30000000,openTime=1590202111571,closeTime=1590288511571,firstId=2664024,lastId=2670798,count=6775]
TickerStatistics[symbol=HOTETH,priceChange=0.00000013,priceChangePercent=5.098,weightedAvgPrice=0.00000260,prevClosePrice=0.00000255,lastPrice=0.00000268,bidPrice=0.00000267,askPrice=0.00000268,openPrice=0.00000255,highPrice=0.00000280,lowPrice=0.00000251,volume=325921851.00000000,openTime=1590202045758,closeTime=1590288445758,firstId=4141785,lastId=4143827,count=2043]
TickerStatistics[symbol=TNTETH,priceChange=0.00000835,priceChangePercent=4.973,weightedAvgPrice=0.00017776,prevClosePrice=0.00016790,lastPrice=0.00017625,bidPrice=0.00017613,askPrice=0.00017754,openPrice=0.00016790,highPrice=0.00019107,lowPrice=0.00012562,volume=6537752.00000000,openTime=1590202113095,closeTime=1590288513095,firstId=1647568,lastId=1650571,count=3004]
TickerStatistics[symbol=FUNETH,priceChange=0.00000065,priceChangePercent=4.884,weightedAvgPrice=0.00001395,prevClosePrice=0.00001334,lastPrice=0.00001396,bidPrice=0.00001396,askPrice=0.00001404,openPrice=0.00001331,highPrice=0.00001439,lowPrice=0.00001331,volume=12758706.00000000,openTime=1590201961652,closeTime=1590288361652,firstId=1928964,lastId=1929744,count=781]
TickerStatistics[symbol=DOCKETH,priceChange=0.00000138,priceChangePercent=4.746,weightedAvgPrice=0.00003108,prevClosePrice=0.00002892,lastPrice=0.00003046,bidPrice=0.00003028,askPrice=0.00003057,openPrice=0.00002908,highPrice=0.00003295,lowPrice=0.00002908,volume=5515556.00000000,openTime=1590202071671,closeTime=1590288471671,firstId=1092817,lastId=1093767,count=951]
TickerStatistics[symbol=HOTUSDT,priceChange=0.00002540,priceChangePercent=4.730,weightedAvgPrice=0.00054877,prevClosePrice=0.00053360,lastPrice=0.00056240,bidPrice=0.00055930,askPrice=0.00056240,openPrice=0.00053700,highPrice=0.00058160,lowPrice=0.00051830,volume=1234663831.00000000,openTime=1590202101212,closeTime=1590288501212,firstId=2062438,lastId=2066568,count=4131]
